"","SP_ID","Int_Name","PA_type","IUCN_CAT","COUNTRY","ISO3","ODA_status","ODA","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"1",631,"Safed Koh","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.120985216150717,0.59471456225732,0.689311390243975,0.663067833769233,0.61663644840653,0.0113247393428485
"2",1238,"Small Pamir","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.081004125918458,0.700935087418312,0.552331298414123,0.687168293704296,0.663809412433853,0.002509381964651
"3",632,"Registan desert","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.0963499352403158,0.676708489275051,0.656250150699898,0.694203422797578,0.843653004646509,0.00432424099462183
"4",630,"North-western steppe","KBA",NA,"Afghanistan","AFG","Least Developed Countries ","yes",8,0.102836002889976,0.567836425927818,0.75043517215349,0.714350940842128,0.742621756007952,0.0118906193836421
"5",167,"National Park Quiçãma","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.219808350868118,0.687895759254872,0.807512859796697,0.687546286372608,0.725441212565179,0.15822479430992
"6",166,"National Park Iona","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.22659716842546,0.495427086310604,0.833054254032386,0.69768666385933,0.768994483844487,0.134785136704489
"7",172,"National Park Mavinga","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.163235630988279,0.61194976006835,0.782769559864323,0.66690041414822,0.69299437030233,0.212234510784744
"8",170,"National Park Mupa","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.186270009979291,0.690974615246989,0.721059306308839,0.651662268492718,0.68961258791799,0.161743746307188
"9",553,"Luando Strict Nature Reserve","KBA",NA,"Angola","AGO","Least Developed Countries ","yes",3,0.238145390238202,0.7737940184756,0.763642939265664,0.686950538337291,0.726658588556753,0.197815464212607
"10",171,"National Park Luengue-Luiana","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.209437839885164,0.561386995003494,0.763356484913922,0.669385463197908,0.740104403796621,0.201627419292989
"11",169,"National Park Bicuar","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.221367701854623,0.705969747208119,0.714325703343991,0.668547449492195,0.717303561709565,0.138353133533158
"12",168,"National Park Cameia","IUCN","II","Angola","AGO","Least Developed Countries ","yes",3,0.229149141456561,0.629816899401183,0.820584496115251,0.691826385567732,0.763466137780806,0.0765907200441204
"13",552,"Luachimo River (Chitato)","KBA",NA,"Angola","AGO","Least Developed Countries ","yes",3,0.235825420869273,0.729106080951337,0.67015535052721,0.693834473028651,0.628049939308223,0.180358002824595
"14",551,"Cuelei","KBA",NA,"Angola","AGO","Least Developed Countries ","yes",3,0.15521647591873,0.67046148529515,0.816307832466604,0.674140169001727,0.62816156735221,0.1595138198973
"15",173,"Boucle de la Pendjari","IUCN","II","Benin","BEN","Least Developed Countries ","yes",3,0.186249432074706,0.625780494581018,0.941743859872986,0.694173476443209,0.640948208056466,0.0841835002344273
"16",554,"Ouémé river basin","KBA",NA,"Benin","BEN","Least Developed Countries ","yes",3,0.216242842998795,0.722269598782727,0.879241072869995,0.649961403603152,0.683332172184026,0.158648105544227
"17",174,"W (Benin)","IUCN","II","Benin","BEN","Least Developed Countries ","yes",3,0.18754964763972,0.555914480663506,0.874500040330233,0.643820793745229,0.69531548026489,0.149894046113213
"18",176,"W du Burkina Faso","IUCN","II","Burkina Faso","BFA","Least Developed Countries ","yes",3,0.186553068172756,0.528866520090697,0.867569131969171,0.666807567120831,0.629417969485751,0.122795657033532
"19",175,"Kabore-Tambi","IUCN","II","Burkina Faso","BFA","Least Developed Countries ","yes",3,0.167109294133334,0.521731699752176,0.928612012516466,0.631902691873401,0.593595000205856,0.134954834675777
"20",656,"Jamuna-Brahmaputra river","KBA",NA,"Bangladesh","BGD","Least Developed Countries ","yes",4,0.210228813515355,0.230702607859982,0.933437763328607,0.748583231361032,0.640487146365009,0.0903980906823287
"21",179,"Wangchuck Centennial Park","IUCN","II","Bhutan","BTN","Least Developed Countries ","yes",8,0.184024029419443,0.73300129648083,0.694049232903988,0.719907553954665,0.682867402414687,0.198631519117636
"22",180,"Jigme Dorji","IUCN","II","Bhutan","BTN","Least Developed Countries ","yes",8,0.183164077660609,0.662013132997745,0.667792647843109,0.685444547669108,0.67300856152101,0.136790913359382
"23",563,"Ngotto","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.321095815998314,0.813759406530128,0.768891730433261,0.69421267474698,0.62049514826772,0.683489289214071
"24",562,"Zémongo Faunal Reserve","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.201187828565796,0.758549144677127,0.756274815756467,0.696411563689106,0.760711320406212,0.208450931031729
"25",488,"Bamingui-Bangoran","IUCN","II","Central African Republic","CAF","Least Developed Countries ","yes",3,0.206958509062946,0.629860037836159,0.946067114071255,0.698427881378625,0.74548137911961,0.180762169977066
"26",486,"Manovo-Gounda-Saint Floris","IUCN","II","Central African Republic","CAF","Least Developed Countries ","yes",3,0.20002258579093,0.565282540640242,0.906592865542676,0.698166770683892,0.785566141098972,0.200871763094813
"27",560,"André Félix National Park complex","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.15417181524583,0.5561169338222,0.777254251265589,0.696738446818205,0.702511875516749,0.260581134594248
"28",561,"Bozoum","KBA",NA,"Central African Republic","CAF","Least Developed Countries ","yes",3,0.205824452289461,0.766896430200225,0.812848055821338,0.698457695166505,0.65703923168607,0.204477258751029
"29",1290,"Kokolopori","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.209859416484411,0.868601364650302,0.845561735495282,0.58035500904979,0.662552095758293,0.662576484750867
"30",162,"Bomu","IUCN","Ib","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.271434163981942,0.779702693894516,0.594535821666537,0.702409235607012,0.704763599761149,0.427802759119559
"31",1288,"Itombwe Mountains","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.503937898749856,0.793420698497346,0.848652876557134,0.640227062256444,0.721948331183245,0.578486613875772
"32",1291,"Lendu Plateau","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.417124009334247,0.742060900287965,0.853675638891275,0.529462149924278,0.669312341303115,0.325902638820763
"33",487,"Okapis","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.373920475638914,0.84128882600725,0.889078594744056,0.678048560528524,0.762186826107306,0.7231126269125
"34",494,"Garamba","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.334631356806047,0.708814861836647,0.790365330208977,0.694570194391255,0.683511952925205,0.184309083637461
"35",485,"Salonga","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.214053911195659,0.841213276578467,0.889186877084618,0.641693091685049,0.828486579153852,0.690842753177217
"36",559,"LaLuama - Katanga - Mount Kabobo","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.317380161173794,0.74910958518384,0.788984919250746,0.68485489620168,0.632971876760566,0.303187289794046
"37",497,"Virunga","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.602055569395333,0.681782433181253,0.962816288327983,0.557546321092147,0.71833417665305,0.334172139807889
"38",478,"Bassin de la Lufira","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.359729917306905,0.750219466433174,0.855582218245381,0.696440024321513,0.848440569652686,0.231027015370082
"39",817,"Irangi Forest","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.421514654887159,0.822574222590297,0.90134685822857,0.500110353177267,0.663719238207384,0.830502964544851
"40",1296,"Marungu highlands","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.311779027364747,0.765300863938572,0.825917134767991,0.635341148668785,0.734711815169717,0.166669460016311
"41",557,"Ngiri","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.268368724455018,0.815290818121797,0.902519250428648,0.690950954618859,0.790182967582376,0.656384622725499
"42",493,"Maiko","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.333334161441504,0.838324583456926,0.891607858524711,0.622896945936021,0.743969623516071,0.711676596332251
"43",492,"Kahuzi-Biega","IUCN","II","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.48461021350788,0.812743713303295,0.90861619977694,0.620768839657604,0.706879399231901,0.786069853360283
"44",556,"Bombo-Lumene Game Reserve","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.236871347244273,0.680654287085137,0.675779143441079,0.680997003790708,0.653914760311967,0.110299061496509
"45",64,"Yangambi","IUCN","Ia","Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.253944553683447,0.782879350412621,0.884853907799797,0.64615429741605,0.623002481085522,0.675626188417078
"46",558,"Lomako - Yekokora","KBA",NA,"Democratic Republic of the Congo","COD","Least Developed Countries ","yes",3,0.205503144025291,0.889259081479521,0.894726251474976,0.618086387558162,0.629675262441568,0.708073885132255
